CAGR,Country,Internet Penetration (%),TAM,Yandex Unit,_confidence_score,_identified_obstacles,_proposed_next_steps,_summary_narrative,_synthesized_findings
Global Proxy: 18.1% (2025-2032),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 6.26B (2025),Yandex Metrica,,,,"Yandex Metrica used primarily in Russia, Turkey, Belarus, Kazakhstan (though globally available). Specific market data unavailable for these countries; used global web analytics market proxies (TAM: $6.26B 2025, CAGR: 18.1%). Internet penetration data provided.",
Russia: 6.15% (App Proxy 2022-2029); Belarus: 7.25% (Software Proxy 2025-2029); Kazakhstan: 9.36% (ICT Proxy 2025-2030); Turkey: 5.02% (App Proxy 2022-2029); Ukraine: Not Found; Uzbekistan: Not Found; Azerbaijan: Not Found; Armenia: Not Found; Hungary: Not Found; Greece: Not Found; Italy: Not Found; Georgia: Not Found,Russia; Belarus; Ukraine; Uzbekistan; Azerbaijan; Armenia; Hungary; Greece; Italy; Georgia; Kazakhstan; Turkey,Russia: 90.4; Belarus: 86.9; Ukraine: 79.2; Uzbekistan: 89.0; Azerbaijan: 88.0; Armenia: 80.0; Hungary: 91.8; Greece: 87.0; Italy: 87.7; Georgia: 81.9; Kazakhstan: 92.3; Turkey: 86.5,Russia: US$1.94bn (App Proxy 2022); Belarus: Not Found; Kazakhstan: US$1.45bn (ICT Proxy 2025); Turkey: US$1.10bn (App Proxy 2022); Ukraine: Not Found; Uzbekistan: Not Found; Azerbaijan: Not Found; Armenia: Not Found; Hungary: Not Found; Greece: Not Found; Italy: Not Found; Georgia: Not Found,Yandex Metro,,,,"Yandex Metro available in Russia, Belarus, Ukraine, Uzbekistan, Azerbaijan, Armenia, Hungary, Greece, Italy, Georgia, Kazakhstan. Turkey added as core market. Specific market data unavailable; used App/Software/ICT proxies for Russia, Belarus, Kazakhstan, Turkey. TAM/CAGR marked 'Not Found' for others. Internet penetration data provided for all listed countries.",
Russia: 6.29% (Music App Proxy 2022-2029); Kazakhstan: 11.9% (Global Proxy); Belarus: 6.19% (Digital Music Proxy 2025-2027); Armenia: 11.9% (Global Proxy); Azerbaijan: 11.9% (Global Proxy); Georgia: 11.9% (Global Proxy); Israel: 11.9% (Global Proxy); Kyrgyzstan: 11.9% (Global Proxy); Moldova: 11.9% (Global Proxy); Tajikistan: 11.9% (Global Proxy); Turkmenistan: 11.9% (Global Proxy); Uzbekistan: 11.9% (Global Proxy); Ukraine: 11.9% (Global Proxy),Russia; Kazakhstan; Armenia; Azerbaijan; Belarus; Georgia; Israel; Kyrgyzstan; Moldova; Tajikistan; Turkmenistan; Uzbekistan; Ukraine,Russia: 90.4; Kazakhstan: 92.3; Armenia: 80.0; Azerbaijan: 88.0; Belarus: 86.9; Georgia: 81.9; Israel: 92.1; Kyrgyzstan: 79.8; Moldova: 71.9; Tajikistan: 41.6; Turkmenistan: 39.5; Uzbekistan: 89.0; Ukraine: 79.2,Russia: US$73.65m (Music App Proxy 2022); Kazakhstan: US$3.18m (Music Proxy 2025); Belarus: US$3.05m by 2027 (Digital Music Proxy); Armenia: Not Found; Azerbaijan: Not Found; Georgia: Not Found; Israel: Not Found; Kyrgyzstan: Not Found; Moldova: Not Found; Tajikistan: Not Found; Turkmenistan: Not Found; Uzbekistan: Not Found; Ukraine: Not Found,Yandex Music,,,,"Yandex Music available in Russia, Kazakhstan, Armenia, Azerbaijan, Belarus, Georgia, Israel, Kyrgyzstan, Moldova, Tajikistan, Turkmenistan, Uzbekistan, Ukraine. Found specific/proxy market data for Russia, Kazakhstan, Belarus. Used global music streaming CAGR proxy (11.9%) for others. TAM marked 'Not Found' for most. Internet penetration data provided for all.",
Russia: 1.77% (Digital News Proxy 2025-2029); Turkey: 2.27% (Digital News Proxy 2025-2029); Belarus: Not Found; Kazakhstan: Not Found; Ukraine: Not Found,Russia; Turkey; Belarus; Kazakhstan; Ukraine,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3; Ukraine: 79.2,Russia: US$259.53m by 2029 (Digital News Proxy); Turkey: US$98.07m by 2029 (Digital News Proxy); Belarus: US$19.21m (Media Proxy 2025); Kazakhstan: US$35.67m (Media Proxy 2025); Ukraine: Not Found,Yandex News,,,,"Yandex News (sold to VK in 2022) operated primarily in Russia, Turkey, Belarus, Kazakhstan, Ukraine. Used Digital Newspapers/Magazines proxy data for Russia/Turkey TAM/CAGR. Used broader Media market TAM proxy for Belarus/Kazakhstan; marked CAGR 'Not Found' due to low proxy figures. Marked Ukraine TAM/CAGR 'Not Found'. Internet penetration data provided.",
Global Proxy: 11.1% (2024-2029) (Digital Mapping),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 28.3B (2024) (Digital Mapping),Yandex Panoramas,,,,"Yandex Panoramas (part of Yandex Maps) primarily used in Russia, Turkey, Belarus, Kazakhstan. Specific market data unavailable; used global digital map market proxies (TAM: $28.3B 2024, CAGR: 11.1%). Internet penetration data provided.",
Russia: 19.63% (Mobile POS Proxy 2025-2029); Belarus: 23.18% (Mobile POS Proxy 2025-2029); Kazakhstan: 11.05% (Digital Payments Proxy 2024-2028); Armenia: 27.30% (Mobile POS Proxy 2025-2029),Russia; Belarus; Kazakhstan; Armenia,Russia: 90.4; Belarus: 86.9; Kazakhstan: 92.3; Armenia: 80.0,Russia: US$300.94bn by 2029 (Mobile POS Proxy); Belarus: US$8.35bn by 2029 (Mobile POS Proxy); Kazakhstan: €13.05bn by 2028 (Digital Payments Proxy); Armenia: US$3.34bn by 2029 (Mobile POS Proxy),Yandex Pay,,,,"Yandex Pay primarily used in Russia, Belarus, Kazakhstan, Armenia. Found specific/proxy market data (Mobile POS Payments or Digital Payments) for all four countries. Internet penetration data provided.",
Global Proxy: 11.0% (Search Engine Market),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Not Found,Yandex Search,,,,"Yandex Search primarily used in Russia, Turkey, Belarus, Kazakhstan. Specific market TAM/CAGR not found for these countries; used global search engine market CAGR proxy (11.0%). TAM marked 'Not Found'. Internet penetration data provided.",
Russia: -5.07% (Taxi Proxy 2025-2029); Belarus: 7.47% (Ride-hailing Proxy 2025-2029); Armenia: 8.50% (Ride-hailing Proxy 2025-2029); Kyrgyzstan: 7.28% (Ride-hailing Proxy 2025-2029); Moldova: Global Proxy: 9.64% (2025-2030); Georgia: Global Proxy: 9.64% (2025-2030); Kazakhstan: 7.81% (Ride-hailing Proxy 2025-2029); Uzbekistan: 12.44% (Ride-hailing Proxy 2025-2029); Turkey: 1.77% (Taxi Proxy 2025-2029); Israel: 5.20% (Ride-hailing Proxy 2025-2029),Russia; Belarus; Armenia; Kyrgyzstan; Moldova; Georgia; Kazakhstan; Uzbekistan; Turkey; Israel,Russia: 90.4; Belarus: 86.9; Armenia: 80.0; Kyrgyzstan: 79.8; Moldova: 71.9; Georgia: 81.9; Kazakhstan: 92.3; Uzbekistan: 89.0; Turkey: 86.5; Israel: 92.1,Russia: US$1.15bn (Taxi Proxy 2025); Belarus: US$11.10m by 2029 (Ride-hailing Proxy); Armenia: US$12.43m (Ride-hailing Proxy 2025); Kyrgyzstan: US$4.92m (Ride-hailing Proxy 2025); Moldova: Global Proxy: US$203.54B (2025); Georgia: Global Proxy: US$203.54B (2025); Kazakhstan: US$82.30m by 2029 (Ride-hailing Proxy); Uzbekistan: US$58.79m (Ride-hailing Proxy 2025); Turkey: US$992.22m (Taxi Proxy 2025); Israel: US$363.25m (Ride-hailing Proxy 2025),Yandex Taxi,,,,"Yandex Taxi/Yango operates in Russia, Belarus, Armenia, Kyrgyzstan, Moldova, Georgia, Kazakhstan, Uzbekistan, Turkey, Israel (and others not included). Found specific/proxy market data (Taxi or Ride-hailing) for most. Used global proxies for Moldova/Georgia. Internet penetration data provided for all listed countries.",
Russia: 2.85% (Shared Mobility Proxy 2025-2029); Belarus: 3.92% (Shared Mobility Proxy 2025-2029); Kazakhstan: 4.70% (Shared Mobility Proxy 2025-2029); Armenia: Global Proxy: 32.2% (MaaS 2023-2030); Azerbaijan: 3.57% (Shared Mobility Proxy 2025-2029); Georgia: Global Proxy: 32.2% (MaaS 2023-2030); Uzbekistan: 8.35% (Shared Mobility Proxy 2025-2029),Russia; Belarus; Kazakhstan; Armenia; Azerbaijan; Georgia; Uzbekistan,Russia: 90.4; Belarus: 86.9; Kazakhstan: 92.3; Armenia: 80.0; Azerbaijan: 88.0; Georgia: 81.9; Uzbekistan: 89.0,Russia: US$39.08bn by 2029 (Shared Mobility Proxy); Belarus: US$630.81m (Shared Mobility Proxy 2025); Kazakhstan: US$2.76bn by 2029 (Shared Mobility Proxy); Armenia: Global Proxy: US$5.7B (MaaS 2023); Azerbaijan: US$834.34m (Shared Mobility Proxy 2025); Georgia: Global Proxy: US$5.7B (MaaS 2023); Uzbekistan: US$1.20bn by 2029 (Shared Mobility Proxy),Yandex Timetable,,,,"Yandex Timetable operates primarily in Russia, Belarus, Kazakhstan, Armenia, Azerbaijan, Georgia, Uzbekistan. Specific market data unavailable; used Shared Mobility or global MaaS proxies. Internet penetration data provided.",
Global Proxy: 11.1% (2024-2029) (Digital Mapping),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 28.3B (2024) (Digital Mapping),Yandex Traffic,,,,"Yandex Traffic (part of Yandex Maps/Navigator) primarily used in Russia, Turkey, Belarus, Kazakhstan. Specific market data unavailable; used global digital map market proxies (TAM: $28.3B 2024, CAGR: 11.1%). Internet penetration data provided.",
Global Proxy: 13.5% (2023-2030),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 978.2M (2022),Yandex Translate,,,,"Yandex Translate used primarily in Russia, Turkey, Belarus, Kazakhstan (though globally available). Specific market data unavailable; used global machine translation market proxies (TAM: $978.2M 2022, CAGR: 13.5%). Internet penetration data provided.",
Global Proxy: 22.2% (2024-2025),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 855.17B (2025),Yandex Video,,,,"Yandex Video primarily used in Russia, Turkey, Belarus, Kazakhstan. Specific market data unavailable; used global video streaming market proxies (TAM: $855.17B 2025, CAGR: 22.2%). Internet penetration data provided.",
Global Proxy: 38.2% (2024-2030),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 8.7B (2024),Shedevrum,,,,"Shedevrum (AI image generator) primarily used in Russia, Turkey, Belarus, Kazakhstan (though globally available). Specific market data unavailable; used global AI image generator market proxies (TAM: $8.7B 2024, CAGR: 38.2%). Internet penetration data provided.",
