Business Unit,CAGR,Country,Source Country Info,Source SEC Report,Source TAM/CAGR,TAM,TAM/CAGR Market Focus,_confidence_score,_identified_obstacles,_proposed_next_steps,_summary_narrative,_synthesized_findings
Search and Portal,,Kazakhstan,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",,,Digital Advertising,,,,,
Search and Portal,13.8% (2017-2022),Russia,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",Research and Markets snippet (https://www.researchandmarkets.com/reports/5835074/russia-digital-advertising-market-summary),$4.6 billion (2022),Digital Advertising,,,,,
Ride-hailing,,Other CIS/EMEA (19 countries),https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",,,Ride-hailing,,,,,
Ride-hailing,6.5% (Forecast period),Russia,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",Cognitive Market Research snippet (https://www.cognitivemarketresearch.com/ride-hailing-market-report),$8.91 billion (Projected 2024),Ride-hailing,,,,,
Yandex Drive,3.50% (Projected 2025-2029),Russia,"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4 - lists Moscow, St. Petersburg, Kazan, Sochi)","https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",Statista Market Forecast (https://www.statista.com/outlook/mmo/shared-mobility/car-sharing/russia),$79.32 million (Projected 2025),Car-sharing,,,,,
FoodTech,,Belarus,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",,,Online Food Delivery / E-grocery,,,,,
FoodTech,,Israel,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",,,Quick Commerce / E-grocery,,,,,
FoodTech,,Kazakhstan,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",,,Online Food Delivery / E-grocery,,,,,
FoodTech,6.17% (Projected 2025-2029),Russia,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",Statista Market Forecast (https://www.statista.com/outlook/emo/online-food-delivery/grocery-delivery/quick-commerce/russia),$1.26 billion (Projected 2025),Quick Commerce / E-grocery,,,,,
Yandex Delivery (Logistics),>8.17% (Projected 2025-2030),Russia,https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 4 - Implied primary market),"https://www.sec.gov/Archives/edgar/data/1513845/000155837022005654/yndx-20211231x20f.htm (Item 5, Note 17)",Bonafide Research snippet/page (https://www.bonafideresearch.com/product/6501594825/russia-last-mile-delivery-market),,Last-Mile Delivery,,,,,
